Term,Canada
Document Name,total words(m),frequency(f)
file1,100,2
file12,98,2
file204,102,1
file211,79,2
file213,93,2
file215,85,1
file216,101,2
file220,96,3
file240,83,2
file244,97,2
file248,84,2
file25,97,2
file252,104,4
file253,94,1
file255,84,3
file260,81,3
file262,96,3
file266,98,2
file271,77,1
file272,90,2
file273,80,2
file274,82,1
file288,102,3
file29,104,5
file290,93,1
file294,90,3
file30,114,3
file300,95,2
file307,93,1
file31,105,3
file310,108,1
file314,102,1
file32,110,1
file320,106,1
file324,118,2
file336,84,2
file34,99,2
file340,80,3
file343,103,4
file344,118,1
file345,114,2
file346,109,1
file347,102,1
file348,106,2
file349,89,1
file35,103,2
file36,97,2
file365,107,1
file367,101,1
file37,96,2
file370,74,1
file381,75,1
file383,101,2
file4,107,1
file405,86,1
file406,122,1
file407,90,1
file410,108,1
file412,107,1
file413,106,1
file414,97,3
file415,92,2
file416,116,1
file417,111,1
file419,102,2
file420,111,1
file422,94,1
file425,110,1
file426,89,1
file429,97,1
file430,111,1
file454,122,3
file477,59,2
file485,78,1
file487,75,3
file488,77,1
file489,96,2
file491,85,1
file5,98,2
file501,101,1
file504,118,2
file511,103,4
file516,91,2
file517,98,1
file524,93,1
file526,86,1
file527,92,2
file529,95,4
file532,93,2
file533,92,1
file544,84,1
file558,77,4
file562,104,1
file572,90,2
file588,77,1
file592,76,4
file6,101,1
file615,91,2
file620,91,1
file631,109,1
file639,75,1
file65,83,3
file652,100,2
file659,60,1
file66,98,3
file661,95,1
file662,100,1
file666,114,3
file674,64,3
file675,89,1
file680,100,2
file686,104,4
file688,104,1
file692,104,1
file693,91,1
file695,98,2
file697,102,3
file699,95,1
file7,103,1
file8,104,2
file82,116,2
file83,116,2
file9,102,2
file94,67,3
file95,66,2
